a	一；一个；每一；任一
abandon	放弃；抛弃；遗弃
ability	能力；才能；才智
able	能；能够；有能力的；能干的
abortion	流产；堕胎；中止；夭折
about	关于；大约；在…周围；到处
above	在…上面；超过；以上；上述的
abroad	在国外；到国外；国外
absence	缺席；不在；缺乏
absolute	绝对的；完全的；专制的
absolutely	绝对地；完全地；确实
absorb	吸收；吸引；使专心
abuse	滥用；虐待；辱骂；虐待；弊病
academic	学术的；学院的；学者
accept	接受；同意；承认
access	入口；通道；接近；使用；存取
accident	事故；意外；偶然
accompany	陪伴；陪同；伴随
accomplish	完成；实现；达到
according	根据；按照
account	账户；描述；解释；认为
accurate	准确的；精确的
accuse	指责；控告；指控
achieve	实现；达到；获得
achievement	成就；成绩；完成
acid	酸；酸的；酸性的
acknowledge	承认；确认；致谢
acquire	获得；取得；学到
across	穿过；在…对面；横过
act	行动；做事；表演；法案
action	行动；动作；作用；情节
active	活跃的；积极的；主动的
activist	积极分子；活动家；激进分子
activity	活动；行动；活跃
actor	演员；男演员
actress	女演员
actual	实际的；真实的；现实的
actually	实际上；事实上；竟然
ad	广告
adapt	适应；改编；改写
add	加；增加；添加
addition	增加；加法；附加物
additional	额外的；附加的
address	地址；住址；演说；写地址；对付
adequate	足够的；适当的；胜任的
adjust	调整；调节；适应
adjustment	调整；调节；适应；校正
administration	管理；行政；政府
administrator	管理员；管理者；行政官
admire	钦佩；羡慕；赞美
admission	承认；允许进入；入场费
admit	承认；允许进入；容许
adolescent	青少年；青春期的；青少年的
adopt	采取；采用；收养
adult	成年人；成年的；成熟的
advance	前进；推进；促进；预付
advanced	先进的；高级的；晚期的
advantage	优势；优点；利益
adventure	冒险；冒险经历
advertising	广告；广告业；广告的
advice	劝告；忠告；建议
advise	劝告；建议；通知
adviser	顾问；劝告者；指导者
advocate	提倡；拥护；主张；倡导者；拥护者
affair	事情；事件；事务；私事
affect	影响；感动；侵袭；假装
afford	负担得起；提供；给予
afraid	害怕的；担心的；恐怕
African	非洲的；非洲人的；非洲人
African-American	非裔美国人；美国黑人
after	在…之后；后来；前面；在前
afternoon	下午；午后
again	再一次；又；此外
against	反对；逆；违反；靠；倚
age	年龄；时代；变老；老化
agency	代理处；经销处；机构
agenda	议程；议事日程
agent	代理人；代理商；特工
aggressive	侵略的；好斗的；进取的
ago	以前；…前
agree	同意；赞成；商定
agreement	协议；协定；同意
agricultural	农业的；农艺的
ah	啊；呀；哈（表示惊讶、理解等）
ahead	在前面；向前；提前
aid	帮助；援助；救助；助手
aide	助手；副官；侍从武官
AIDS	艾滋病；获得性免疫缺陷综合征
aim	瞄准；针对；目标；目的
air	空气；大气；天空；航空；通风
aircraft	飞机；航空器
airline	航空公司；航空线
airport	机场；航空港
album	相册；集邮册；唱片集
alcohol	酒精；酒；含酒精的饮料
alive	活着的；有生气的；活跃的
all	全部的；所有的；全部；都
alliance	联盟；同盟；联合
allow	允许；准许；容许；给予
ally	同盟国；同盟者；盟友；结盟；联合
almost	几乎；差不多；将近
alone	独自；单独；只有；仅仅
along	沿着；向前；一起；一同
already	已经；早已
also	也；而且；同样
